InvoiceDate,InvoiceId,SalesUNit,Qty,NetWeight,CustomerName,LineAmount1,Freight,City,State,ItemName,ProductCategory
16-10-2019,SGE-1920/005852,CAN,168,69.72,Customer 207,33600,131.94,PALGHAR,MH,Item 5,Category 3
16-10-2019,SGE-1920/005863,CAN,336,139.44,Customer 61,67200,257.89,PALGHAR,MH,Item 5,Category 3
16-10-2019,SGE-1920/005864,CAN,1008,418.32,Customer 42,197568,785.47,RAIGAD,MH,Item 5,Category 3
16-10-2019,SGE-1920/005847,BKT,30,600,Customer 108,84360,0,BELLARY,KA,Item 1,Category 1
18-10-2019,SGE-1920/005903,BKT,40,800,Customer 53,365400,1230.02,LUDHIANA,PB,Item 1,Category 1
18-10-2019,SGE-1920/005928,CAN,108,44.82,Customer 32,29166.48,87.75,CHANDIGARH,CH,Item 5,Category 3
18-10-2019,SGE-1920/005921,BKT,16,320,Customer 120,155392,503.26,GOA,GA,Item 1,Category 1
19-10-2019,DD-1920/000234,CAN,300,124.5,Customer 25,48312,0,JAMNAGAR,GJ,Item 5,Category 3
19-10-2019,SGE-1920/005940,BKT,1,20,Customer 200,11923.2,33.4,DINGIGUL,TN,Item 1,Category 1
19-10-2019,SGE-1920/005938,CAN,12,4.98,Customer 53,2855.36,14.97,LUDHIANA,PB,Item 5,Category 3
19-10-2019,SGE-1920/005946,CAN,504,209.16,Customer 11,100800,191.04,KOLKATTA,WB,Item 5,Category 3
22-10-2019,SGE-1920/005961,CAN,600,249,Customer 37,120000,469.8,HARIDWAR,UT,Item 5,Category 3
22-10-2019,SGE-1920/005980,SET,3,72,Customer 33,67417.92,153.42,BHILWARA,RJ,Item 2,Category 2
22-10-2019,SGE-1920/005980,SET,9,216,Customer 33,202603.68,461.07,BHILWARA,RJ,Item 3,Category 2
24-10-2019,SGE-1920/006048,SET,2,48,Customer 89,54017.93,111.08,AHMEDABAD,GJ,Item 3,Category 2
24-10-2019,SGE-1920/006044,BKT,100,2000,Customer 56,680000,2827.2,AHMEDABAD,GJ,Item 1,Category 1
24-10-2019,SGE-1920/006051,SET,2,48,Customer 56,44980.16,100.26,AHMEDABAD,GJ,Item 2,Category 2
24-10-2019,SGE-1920/006051,SET,5,120,Customer 56,114832.8,255.95,AHMEDABAD,GJ,Item 3,Category 2
24-10-2019,SGE-1920/006043,KIT,35,630,Customer 57,221975.6,960.85,AHMEDABAD,GJ,Item 4,Category 2
24-10-2019,SGE-1920/006019,BKT,325,6500,Customer 108,913900,0,BELLARY,KA,Item 1,Category 1
24-10-2019,SGE-1920/006046,CAN,24,9.96,Customer 91,6412.82,11.49,ROURKELA,OR,Item 5,Category 3
25-10-2019,SGE-1920/006053,SET,2,48,Customer 86,48587.95,100.63,INDORE,MP,Item 2,Category 2
25-10-2019,SGE-1920/006071,BKT,3,60,Customer 66,14400,14.98,JAMNAGAR,GJ,Item 1,Category 1
26-10-2019,SGE-1920/006106,CAN,12,4.98,Customer 53,3240.72,6.41,LUDHIANA,PB,Item 5,Category 3
26-10-2019,SGE-1920/006085,CAN,12,4.98,Customer 90,3597.2,7.78,MUMBAI,MH,Item 5,Category 3
29-10-2019,SGE-1920/006138,BKT,2,40,Customer 12,30143.17,74.35,NASHIK,MH,Item 1,Category 1
